book,chapter,expected_verses,actual_verses,match
2KI,14,29,29,True
2KI,15,38,38,True
2KI,16,20,20,True
2KI,17,41,41,True
2KI,18,37,37,True
2KI,19,37,37,True
2KI,20,21,21,True
2KI,21,26,26,True
2KI,22,20,20,True
2KI,23,37,37,True
2KI,24,20,20,True
2KI,25,30,30,True
1CH,1,54,54,True
1CH,2,55,55,True
1CH,3,24,24,True
1CH,4,43,43,True
1CH,5,26,26,True
1CH,6,81,81,True
1CH,7,40,40,True
1CH,8,40,40,True
1CH,9,44,44,True
1CH,10,14,14,True
1CH,11,47,47,True
1CH,12,40,40,True
1CH,13,14,14,True
1CH,14,17,17,True
1CH,15,29,29,True
1CH,16,43,43,True
1CH,17,27,27,True
1CH,18,17,17,True
1CH,19,19,19,True
1CH,20,8,8,True
1CH,21,30,30,True
1CH,22,19,19,True
1CH,23,32,32,True
1CH,24,31,31,True
1CH,25,31,31,True
1CH,26,32,32,True
1CH,27,34,34,True
1CH,28,21,21,True
1CH,29,30,30,True
2CH,1,17,17,True
2CH,2,18,18,True
2CH,3,17,17,True
2CH,4,22,22,True
2CH,5,14,14,True
2CH,6,42,42,True
2CH,7,22,22,True
2CH,8,18,18,True
2CH,9,31,31,True
2CH,10,19,19,True
2CH,11,23,23,True
2CH,12,16,16,True
2CH,13,22,22,True
2CH,14,15,15,True
2CH,15,19,19,True
2CH,16,14,14,True
2CH,17,19,19,True
2CH,18,34,34,True
2CH,19,11,11,True
2CH,20,37,37,True
2CH,21,20,20,True
2CH,22,12,12,True
2CH,23,21,21,True
2CH,24,27,27,True
2CH,25,28,28,True
2CH,26,23,23,True
2CH,27,9,9,True
2CH,28,27,27,True
2CH,29,36,36,True
2CH,30,27,27,True
2CH,31,21,21,True
2CH,32,33,33,True
2CH,33,25,25,True
2CH,34,33,33,True
2CH,35,27,27,True
2CH,36,23,23,True
EZR,1,11,11,True
EZR,2,70,70,True
EZR,3,13,13,True
EZR,4,24,24,True
EZR,5,17,17,True
EZR,6,22,22,True
EZR,7,28,28,True
EZR,8,36,36,True
EZR,9,15,15,True
EZR,10,44,44,True
NEH,1,11,11,True
NEH,2,20,20,True
NEH,3,32,32,True
NEH,4,23,23,True
NEH,5,19,19,True
NEH,6,19,19,True
NEH,7,73,73,True
NEH,8,18,18,True
NEH,9,38,38,True
NEH,10,39,39,True
NEH,11,36,36,True
NEH,12,47,47,True
NEH,13,31,31,True
EST,1,22,22,True
EST,2,23,23,True
EST,3,15,15,True
EST,4,17,17,True
EST,5,14,14,True
EST,6,14,14,True
EST,7,10,10,True
EST,8,17,17,True
EST,9,32,32,True
EST,10,3,3,True
JOB,1,22,22,True
JOB,2,13,13,True
JOB,3,26,26,True
JOB,4,21,21,True
JOB,5,27,27,True
JOB,6,30,30,True
JOB,7,21,21,True
JOB,8,22,22,True
JOB,9,35,35,True
JOB,10,22,22,True
JOB,11,20,20,True
JOB,12,25,25,True
JOB,13,28,28,True
JOB,14,22,22,True
JOB,15,35,35,True
JOB,16,22,22,True
JOB,17,16,16,True
JOB,18,21,21,True
JOB,19,29,29,True
JOB,20,29,29,True
JOB,21,34,34,True
JOB,22,30,30,True
JOB,23,17,17,True
JOB,24,25,25,True
JOB,25,6,6,True
JOB,26,14,14,True
JOB,27,23,23,True
